pop,asn,type
dallas,13830,route_server_peer
dallas,63296,route_server_peer
dallas,42,peer
dallas,60819,customer
dallas,6507,route_server_peer
dallas,207419,customer
dallas,53766,route_server_peer
dallas,400474,route_server_peer
dallas,46475,route_server_peer
dallas,199524,peer
dallas,16524,route_server_peer
dallas,8075,peer
dallas,32097,route_server_peer
dallas,8001,route_server_peer
dallas,17378,route_server_peer
dallas,203872,customer
dallas,398044,route_server_peer
dallas,1299,provider
dallas,63949,route_server_peer
dallas,13335,peer
dallas,400148,customer
dallas,399521,route_server_peer
dallas,63051,route_server_peer
dallas,40107,route_server_peer
dallas,35847,route_server_peer
dallas,63199,route_server_peer
dallas,398962,customer
dallas,13767,route_server_peer
dallas,6300,route_server_peer
dallas,399462,route_server_peer
dallas,13825,route_server_peer
dallas,29802,peer
dallas,14340,peer
dallas,40805,route_server_peer
dallas,62707,customer
dallas,22462,route_server_peer
dallas,13354,route_server_peer
dallas,32590,route_server_peer
dallas,32440,route_server_peer
dallas,398013,route_server_peer
dallas,11708,route_server_peer
dallas,1828,peer
dallas,20940,peer
dallas,396998,peer
dallas,63399,route_server_peer
dallas,15164,route_server_peer
dallas,393398,route_server_peer
dallas,36198,customer
dallas,62917,route_server_peer
dallas,46489,peer
dallas,30286,route_server_peer
dallas,13359,route_server_peer
dallas,23486,route_server_peer
dallas,400519,customer
dallas,9009,route_server_peer
dallas,3856,route_server_peer
dallas,15169,route_server_peer
dallas,30081,route_server_peer
dallas,396986,route_server_peer
dallas,11492,route_server_peer
dallas,1820,route_server_peer
dallas,32035,peer
dallas,35280,route_server_peer
dallas,14907,route_server_peer
dallas,714,peer
dallas,15695,route_server_peer
dallas,398196,route_server_peer
dallas,10310,route_server_peer
dallas,33438,peer
dallas,267613,route_server_peer
dallas,134521,route_server_peer
dallas,40630,route_server_peer
dallas,22645,route_server_peer
dallas,20253,route_server_peer
dallas,50058,route_server_peer
dallas,62766,customer
dallas,15133,peer
dallas,3356,provider
dallas,54804,route_server_peer
dallas,53991,route_server_peer
dallas,32771,customer
dallas,21245,customer
dallas,397423,route_server_peer
dallas,62579,customer
dallas,18615,route_server_peer
dallas,46632,route_server_peer
dallas,23473,peer
dallas,395301,route_server_peer
dallas,55256,route_server_peer
dallas,207616,customer
dallas,12200,route_server_peer
dallas,2914,provider
dallas,54113,route_server_peer
dallas,16509,peer
dallas,5078,route_server_peer
dallas,35985,route_server_peer
dallas,22442,route_server_peer
dallas,49544,peer
dallas,53828,route_server_peer
dallas,57976,route_server_peer
dallas,22822,peer
dallas,32934,peer
dallas,394177,route_server_peer
dallas,25091,route_server_peer
dallas,62955,peer
dallas,200781,route_server_peer
dallas,14593,route_server_peer
dallas,53340,route_server_peer
dallas,3257,provider
dallas,393737,route_server_peer
dallas,5670,route_server_peer
dallas,6939,peer
dallas,3491,provider
dallas,36730,route_server_peer
dallas,40138,customer
dallas,19750,route_server_peer
dallas,137409,peer
dallas,29838,peer
dallas,398337,route_server_peer
dallas,19694,route_server_peer
dallas,28458,route_server_peer
dallas,36351,peer
dallas,13823,route_server_peer
dallas,16265,route_server_peer
dallas,4455,route_server_peer
dallas,20278,route_server_peer
dallas,42473,route_server_peer
dallas,62,route_server_peer
dallas,34549,route_server_peer
dallas,63023,route_server_peer
saopaulo,264595,route_server_peer
saopaulo,262881,route_server_peer
saopaulo,265986,route_server_peer
saopaulo,6057,route_server_peer
saopaulo,268729,route_server_peer
saopaulo,267363,route_server_peer
saopaulo,262311,route_server_peer
saopaulo,52788,route_server_peer
saopaulo,264927,route_server_peer
saopaulo,28184,route_server_peer
saopaulo,264075,route_server_peer
saopaulo,174,provider
saopaulo,52630,route_server_peer
saopaulo,268296,route_server_peer
saopaulo,53070,route_server_peer
saopaulo,269254,route_server_peer
saopaulo,267216,route_server_peer
saopaulo,264096,route_server_peer
saopaulo,264517,route_server_peer
saopaulo,267201,route_server_peer
saopaulo,22250,route_server_peer
saopaulo,28191,route_server_peer
saopaulo,266622,route_server_peer
saopaulo,264993,route_server_peer
saopaulo,28598,route_server_peer
saopaulo,40676,route_server_peer
saopaulo,265303,route_server_peer
saopaulo,262664,route_server_peer
saopaulo,270763,route_server_peer
saopaulo,52637,route_server_peer
saopaulo,266142,route_server_peer
saopaulo,270949,route_server_peer
saopaulo,270674,route_server_peer
saopaulo,272786,route_server_peer
saopaulo,262967,route_server_peer
saopaulo,262715,route_server_peer
saopaulo,263055,route_server_peer
saopaulo,264479,route_server_peer
saopaulo,273683,route_server_peer
saopaulo,19186,customer
saopaulo,271340,route_server_peer
saopaulo,270772,route_server_peer
saopaulo,61696,route_server_peer
saopaulo,271398,route_server_peer
saopaulo,28153,route_server_peer
saopaulo,264969,route_server_peer
saopaulo,264010,route_server_peer
saopaulo,266961,route_server_peer
saopaulo,270523,route_server_peer
saopaulo,269568,route_server_peer
saopaulo,61785,route_server_peer
saopaulo,263431,route_server_peer
saopaulo,269656,route_server_peer
saopaulo,264580,route_server_peer
saopaulo,52634,route_server_peer
saopaulo,262409,route_server_peer
saopaulo,268131,route_server_peer
saopaulo,263558,route_server_peer
saopaulo,265477,route_server_peer
saopaulo,270826,route_server_peer
saopaulo,53095,route_server_peer
saopaulo,264935,route_server_peer
saopaulo,270361,route_server_peer
saopaulo,266389,route_server_peer
saopaulo,263617,route_server_peer
saopaulo,61948,route_server_peer
saopaulo,268811,route_server_peer
saopaulo,262402,route_server_peer
saopaulo,265067,route_server_peer
saopaulo,271181,route_server_peer
saopaulo,262815,route_server_peer
saopaulo,10099,route_server_peer
saopaulo,266216,route_server_peer
saopaulo,53234,route_server_peer
saopaulo,263237,route_server_peer
saopaulo,268900,route_server_peer
saopaulo,28334,route_server_peer
saopaulo,263009,route_server_peer
saopaulo,264386,route_server_peer
saopaulo,262757,route_server_peer
